person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
2, coloured, 22, yes, 2, 1, NaN, NaN
2, coloured, 22, yes, 3, 0, 0.606135, -1
2, coloured, 23, yes, 1, 0, NaN, NaN
2, coloured, 23, yes, 2, 0, NaN, NaN
2, coloured, 23, yes, 3, 0, 0.515445, -1
2, coloured, 23, yes, 4, 0, 0.478148, -1
2, coloured, 24, yes, 1, 0, NaN, NaN
2, coloured, 24, yes, 2, 1, NaN, NaN
2, coloured, 24, yes, 3, 0, 0.763412, -1
2, coloured, 24, yes, 4, 1, 0.890761, 1
2, coloured, 25, yes, 1, 0, NaN, NaN
2, coloured, 25, yes, 2, 0, NaN, NaN
2, coloured, 25, yes, 3, 1, 0.689380, 1
2, coloured, 25, yes, 4, 0, 0.461549, -1
2, coloured, 25, yes, 5, 0, 0.470967, -1
2, coloured, 26, no, 1, 0, 0.415969, -1
2, coloured, 26, no, 2, 0, 0.351826, -1
2, coloured, 26, no, 3, 1, 0.579578, 1
2, coloured, 26, no, 4, 1, 0.317196, 1
2, coloured, 26, no, 5, 1, 0.372475, 1
2, coloured, 27, no, 1, 1, 0.497829, 1
2, coloured, 27, no, 2, 1, 0.487771, 1
2, coloured, 27, no, 3, 0, 0.422438, -1
2, coloured, 28, yes, 1, 0, NaN, NaN
2, coloured, 28, yes, 2, 0, NaN, NaN
2, coloured, 28, yes, 3, 0, 0.972806, -1
2, coloured, 28, yes, 4, 0, 0.608795, -1
2, coloured, 29, yes, 1, 1, NaN, NaN
2, coloured, 29, yes, 2, 0, NaN, NaN
2, coloured, 29, yes, 3, 0, 0.430417, -1
2, coloured, 29, yes, 4, 0, 0.510189, -1
2, coloured, 29, yes, 5, 1, 0.296140, 1
2, coloured, 30, yes, 1, 0, NaN, NaN
2, coloured, 30, yes, 2, 1, NaN, NaN
2, coloured, 30, yes, 3, 1, 0.681995, 1
2, coloured, 30, yes, 4, 1, 0.376707, 1
2, coloured, 1, yes, 1, 1, NaN, NaN
2, coloured, 1, yes, 2, 1, NaN, NaN
2, coloured, 1, yes, 3, 0, 0.574193, -1
2, coloured, 1, yes, 4, 0, 0.477898, -1
2, coloured, 1, yes, 5, 1, 0.291517, 1
2, coloured, 2, yes, 1, 0, NaN, NaN
2, coloured, 2, yes, 2, 1, NaN, NaN
2, coloured, 2, yes, 3, 0, 0.482702, -1
2, coloured, 2, yes, 4, 0, 0.631454, -1
2, coloured, 3, no, 1, 0, 0.452826, -1
2, coloured, 3, no, 2, 1, 0.559552, 1
2, coloured, 3, no, 3, 0, 0.531101, -1
2, coloured, 3, no, 4, 1, 0.405525, -1
2, coloured, 4, yes, 1, 0, NaN, NaN
2, coloured, 4, yes, 2, 1, NaN, NaN
